SoldPrice;Type;YearBuilt;Area;Zip;Baths;Beds;GarageType;GarageSpaces;ParkingSpaces
119500;Condo;1962;76;60076;1;2;None;0;1
120000;Condo;1963;76;60076;1;2;None;0;1
123000;Condo;1961;76;60076;1;2;None;0;1
123000;Condo;1969;76;60077;1;2;None;0;1
132500;Condo;1954;76;60076;1;2;None;0;1
135000;Condo;1962;76;60076;1;2;None;0;1
137000;Condo;UNK;76;60076;2;2;None;0;1
137500;Condo;1962;76;60076;1;2;None;0;1
146600;Condo;1967;76;60076;1;2;None;0;1
150000;Condo;1962;76;60076;1;2;None;0;1
161800;Condo;1965;76;60076;2;2;None;0;1
163500;Condo;1968;76;60077;2;2;None;0;1
130000;Cluster, Mid Rise (4-6 Stories);1975;76;60077;1;1;None;0;2
215000;1 Story;1957;76;60076;1;3;None;0;0
279000;1 Story;1953;76;60076;2;2;None;0;0
130500;Condo;1962;76;60076;1;2;None;0;0
132800;Condo;1960;76;60077;1;2;None;0;0
140000;Condo, Mid Rise (4-6 Stories);1975;76;60077;1;1;None;0;0
230000;1 Story;1957;76;60076;2;2;Detached;01.maj;0
215000;1 Story;1949;76;60077;1;2;Attached;1;0
264000;1 Story;1956;76;60077;2;2;Detached;2;0
200000;1 Story;1952;76;60076;1;2;Detached;1;0
279000;Split Level;1955;76;60077;2;2;Detached;2;0
304500;Split Level;1955;76;60077;2;2;Detached;01.maj;0
240000;Townhouse-2 Story;1942;76;60076;1;2;Detached;2;0
270000;1/2 Duplex;1944;76;60076;2;2;Detached;1;0
145000;Condo;1975;76;60077;1;2;None;0;1
325000;1 Story;1958;76;60076;2;3;None;0;2
309500;1 Story;1954;76;60076;2;3;Detached;2;0
247500;1 Story;1953;76;60077;1;2;Detached;2;0
154000;Mid Rise (4-6 Stories);1977;76;60077;1;1;Attached;1;0
260000;1 Story;1953;76;60076;2;2;Detached;02.maj;0
236500;1 Story;1965;76;60076;1;3;None;0;4
134000;Condo;1966;76;60077;1;2;None;0;0
259000;1 Story;1960;76;60076;2;2;None;0;0
275000;1 Story;1960;76;60077;2;3;Detached;2;2
205000;1 Story;1952;76;60076;1;3;Detached;2;0
225000;1 Story;1960;76;60076;1;3;Detached;2;0
250000;1 Story;1953;76;60077;1;2;Detached;2;0
250000;1 Story;1956;76;60077;1;3;Detached;2;0
259000;1 Story;1956;76;60076;1;3;Detached;2;0
336500;1 Story;1951;76;60077;2;3;Detached;2;0
208500;Townhouse-2 Story;1958;76;60077;1;3;None;0;1
220000;1 Story;1959;76;60077;1;2;None;0;2
255000;1 Story;1952;76;60077;2;2;Detached;2;0
180100;Townhouse-2 Story;1959;76;60076;1;2+1 bsmt;None;0;1
168000;Townhouse-2 Story;1958;76;60077;1;2;None;0;1
175000;Townhouse-2 Story;1958;76;60077;1;2;None;0;1
220000;1 Story;1957;76;60076;2;2;Detached;2;0
232000;1 Story;1956;76;60076;2;3;None;0;0
339000;1 Story;1954;76;60077;1;3;None;0;0
250000;1 Story;1959;76;60076;1;3;Detached;2;0
245000;1 Story;1955;76;60077;1;3;Detached;2;0
265000;1 Story;1959;76;60077;1;3;Detached;2;0
277500;1 Story;1956;76;60076;2;3;Detached;2;0
170000;Townhouse-2 Story;1958;76;60076;1;2;None;0;1
258000;1 Story;1962;76;60076;1;2;None;0;2
277500;1 Story;1955;76;60076;2;3;None;0;2
130000;Mid Rise (4-6 Stories);1975;76;60077;1;1;Attached;1;0
160000;Condo;1997;76;60077;1;1;Attached;1;0
149000;Condo;UNK;76;60077;2;2;None;0;1
167500;Condo;1968;76;60077;2;2;None;0;1
169000;Townhouse-2 Story;1960;76;60076;1;3;None;0;1
225000;Townhouse-2 Story;1960;76;60076;1;3;None;0;1
255000;1 Story;1953;76;60076;1;2;Detached;1;0
180786;Townhouse-2 Story;1958;76;60077;1;2;None;0;1
192000;Townhouse-2 Story;1958;76;60076;1;2;None;0;1
